query,label
Is there a refund for incorrectly bought clothes?,FAQ
Tell me about the cheapest T-shirts that you have.,Product
Do you have blue T-shirts under 100 dollars?,Product
How can I find the promotions?,FAQ
Give me ideas for a sunny look.,Product
What is your exchange policy?,FAQ
Do you offer gift wrapping services?,FAQ
What are the payment methods you accept?,FAQ
Display the top-rated summer shoes.,Product
How do I apply a discount code?,FAQ
List all available denim jackets.,Product
Where can I track my order?,FAQ
Are there any membership perks?,FAQ
Which shirts are best for formal occasions?,Product
What is the delivery time for online orders?,FAQ
Can I reserve an item online and pick it up in-store?,FAQ
Show options for party wear under $50.,Product
Can I cancel my order after placing it?,FAQ
What are your store hours?,FAQ
What dresses do you have for a wedding?,Product
Do you ship internationally?,FAQ
Show me the winter sale items.,Product
Can you recommend accessories for a black dress?,Product
How can I contact customer service?,FAQ
Find long-sleeved shirts in pastel colors.,Product
Display casual wear for teenagers.,Product
What is your policy on faulty items?,FAQ
Tell me about the latest trends in men's wear.,Product
Can I get a refund for sale items?,FAQ
What jackets are suitable for winter?,Product
Do you have any loyalty programs?,FAQ
Show summer collection dresses.,Product
What should I wear for a beach party?,Product
What is the warranty period for your clothes?,FAQ
What type of clothes do you recommend for a workout?,Product
Show me the bestseller tops.,Product
What kind of swimwear is available?,Product
How do I subscribe to the newsletter?,FAQ
List your formal shoes collection.,Product
Are there any clearance sales?,FAQ
What clothes do you suggest for a rainy day?,Product
Show me options for business casual attire.,Product
What is the return process for in-store purchases?,FAQ
Can you show me red blouses?,Product
List kids' clothes suitable for winter.,Product
What are your recommended clothes for traveling?,Product
Show maternity wear options.,Product
What is your gift return policy?,FAQ
Could you suggest a look for a formal interview?,Product
Show me sleeveless tops for women.,Product